pairs	target	gold	order	distractors	full_sent	prefix	sent
1982	are	are	x	1	Distributed in the lowland forests of northeastern australia, new guinea and nearby islands, members of this genus are monogamous and sexually monomorphic.	Distributed in the lowland forests of northeastern australia, new guinea and nearby islands, members of this genus	Distributed in the lowland forests of northeastern australia, new guinea and nearby islands, members of this genus are
1982	is	are	y	1	Distributed in the lowland forests of northeastern australia, new guinea and nearby islands, members of this genus are monogamous and sexually monomorphic.	Distributed in the lowland forests of northeastern australia, new guinea and nearby islands, members of this genus	Distributed in the lowland forests of northeastern australia, new guinea and nearby islands, members of this genus is
1983	leaves	leaves	x	2	May 19, a fleet of almost 200 ships of crusaders( second crusade) leaves from dartmouth in england, consisting of flemish, frisian, norman, english, scottish, and some german crusaders.	May 19, a fleet of almost 200 ships of crusaders( second crusade)	May 19, a fleet of almost 200 ships of crusaders( second crusade) leaves
1983	leave	leaves	y	2	May 19, a fleet of almost 200 ships of crusaders( second crusade) leaves from dartmouth in england, consisting of flemish, frisian, norman, english, scottish, and some german crusaders.	May 19, a fleet of almost 200 ships of crusaders( second crusade)	May 19, a fleet of almost 200 ships of crusaders( second crusade) leave
1984	includes	includes	x	0	Remedy should specify whether the ban includes the talk page.	Remedy should specify whether the ban	Remedy should specify whether the ban includes
1984	include	includes	y	0	Remedy should specify whether the ban includes the talk page.	Remedy should specify whether the ban	Remedy should specify whether the ban include
1985	are	are	x	2	Millions more books that are in copyright but out of print are currently available in google books in a shorter'snippet view.	Millions more books that are in copyright but out of print	Millions more books that are in copyright but out of print are
1985	is	are	y	2	Millions more books that are in copyright but out of print are currently available in google books in a shorter'snippet view.	Millions more books that are in copyright but out of print	Millions more books that are in copyright but out of print is
1986	says	says	x	2	Oppose, the fact that this editors main contributions are reviewing gas says it all.	Oppose, the fact that this editors main contributions are reviewing gas	Oppose, the fact that this editors main contributions are reviewing gas says
1986	say	says	y	2	Oppose, the fact that this editors main contributions are reviewing gas says it all.	Oppose, the fact that this editors main contributions are reviewing gas	Oppose, the fact that this editors main contributions are reviewing gas say
1987	attend	attend	x	1	Students in the cedar creek area attend cedar creek elementary school, cedar creek intermediate school, cedar creek middle school, and cedar creek high school.	Students in the cedar creek area	Students in the cedar creek area attend
1987	attends	attend	y	1	Students in the cedar creek area attend cedar creek elementary school, cedar creek intermediate school, cedar creek middle school, and cedar creek high school.	Students in the cedar creek area	Students in the cedar creek area attends
1988	starts	starts	x	0	This one-way trail starts across from the morrow mountain pool and runs through the woods, connecting the pool, the camp office, and the three family campgrounds.	This one-way trail	This one-way trail starts
