pairs	order	P	T	prime	target
199	x	Active	Active	a daughter understood a buddy.	the teacher hurries the princess.
200	x	Passive	Passive	the actor is forgiven by the guy.	a cheese was eaten by a secretary.
200	y	Active	Passive	the guy forgives the actor.	a cheese was eaten by a secretary.
201	y	Passive	Active	the actor is forgiven by the guy.	a secretary ate a cheese.
201	x	Active	Active	the guy forgives the actor.	a secretary ate a cheese.
202	x	Passive	Passive	the actress is struck by the pilot.	a cheese was eaten by a secretary.
202	y	Active	Passive	the pilot strikes the actress.	a cheese was eaten by a secretary.
203	y	Passive	Active	the actress is struck by the pilot.	a secretary ate a cheese.
203	x	Active	Active	the pilot strikes the actress.	a secretary ate a cheese.
204	x	Passive	Passive	the motor is grabbed by the colonel.	a cheese was eaten by a secretary.
204	y	Active	Passive	the colonel grabs the motor.	a cheese was eaten by a secretary.
205	y	Passive	Active	the motor is grabbed by the colonel.	a secretary ate a cheese.
205	x	Active	Active	the colonel grabs the motor.	a secretary ate a cheese.
206	x	Passive	Passive	the club is led by the mother.	a cheese was eaten by a secretary.
206	y	Active	Passive	the mother leads the club.	a cheese was eaten by a secretary.
207	y	Passive	Active	the club is led by the mother.	a secretary ate a cheese.
207	x	Active	Active	the mother leads the club.	a secretary ate a cheese.
208	x	Passive	Passive	the cop is helped by the administration.	a cheese was eaten by a secretary.
208	y	Active	Passive	the administration helps the cop.	a cheese was eaten by a secretary.
209	y	Passive	Active	the cop is helped by the administration.	a secretary ate a cheese.
209	x	Active	Active	the administration helps the cop.	a secretary ate a cheese.
210	x	Passive	Passive	the crystal is smelled by the candidate.	a cheese was eaten by a secretary.
210	y	Active	Passive	the candidate smells the crystal.	a cheese was eaten by a secretary.
211	y	Passive	Active	the crystal is smelled by the candidate.	a secretary ate a cheese.
211	x	Active	Active	the candidate smells the crystal.	a secretary ate a cheese.
212	x	Passive	Passive	the juice is destroyed by the singer.	a cheese was eaten by a secretary.
212	y	Active	Passive	the singer destroys the juice.	a cheese was eaten by a secretary.
213	y	Passive	Active	the juice is destroyed by the singer.	a secretary ate a cheese.
213	x	Active	Active	the singer destroys the juice.	a secretary ate a cheese.
214	x	Passive	Passive	the buddy is raised by the child.	a cheese was eaten by a secretary.
214	y	Active	Passive	the child raises the buddy.	a cheese was eaten by a secretary.
215	y	Passive	Active	the buddy is raised by the child.	a secretary ate a cheese.
215	x	Active	Active	the child raises the buddy.	a secretary ate a cheese.
216	x	Passive	Passive	the husband is embraced by the reader.	a cheese was eaten by a secretary.
216	y	Active	Passive	the reader embraces the husband.	a cheese was eaten by a secretary.
217	y	Passive	Active	the husband is embraced by the reader.	a secretary ate a cheese.
217	x	Active	Active	the reader embraces the husband.	a secretary ate a cheese.
218	x	Passive	Passive	the professor is asked by the author.	a cheese was eaten by a secretary.
218	y	Active	Passive	the author asks the professor.	a cheese was eaten by a secretary.
219	y	Passive	Active	the professor is asked by the author.	a secretary ate a cheese.
219	x	Active	Active	the author asks the professor.	a secretary ate a cheese.
220	x	Passive	Passive	a glass was removed by a writer.	the opponent is understood by the priest.
220	y	Active	Passive	a writer removed a glass.	the opponent is understood by the priest.
221	y	Passive	Active	a glass was removed by a writer.	the priest understands the opponent.
221	x	Active	Active	a writer removed a glass.	the priest understands the opponent.
222	x	Passive	Passive	a television was raised by a writer.	the opponent is understood by the priest.
222	y	Active	Passive	a writer raised a television.	the opponent is understood by the priest.
223	y	Passive	Active	a television was raised by a writer.	the priest understands the opponent.
223	x	Active	Active	a writer raised a television.	the priest understands the opponent.
224	x	Passive	Passive	a leader was punched by a buddy.	the opponent is understood by the priest.
224	y	Active	Passive	a buddy punched a leader.	the opponent is understood by the priest.
225	y	Passive	Active	a leader was punched by a buddy.	the priest understands the opponent.
225	x	Active	Active	a buddy punched a leader.	the priest understands the opponent.
226	x	Passive	Passive	a guitar was wanted by an administration.	the opponent is understood by the priest.
226	y	Active	Passive	an administration wanted a guitar.	the opponent is understood by the priest.
227	y	Passive	Active	a guitar was wanted by an administration.	the priest understands the opponent.
227	x	Active	Active	an administration wanted a guitar.	the priest understands the opponent.
228	x	Passive	Passive	a coffee was purchased by a woman.	the opponent is understood by the priest.
228	y	Active	Passive	a woman purchased a coffee.	the opponent is understood by the priest.
229	y	Passive	Active	a coffee was purchased by a woman.	the priest understands the opponent.
229	x	Active	Active	a woman purchased a coffee.	the priest understands the opponent.
230	x	Passive	Passive	a boy was chased by a singer.	the opponent is understood by the priest.
230	y	Active	Passive	a singer chased a boy.	the opponent is understood by the priest.
231	y	Passive	Active	a boy was chased by a singer.	the priest understands the opponent.
231	x	Active	Active	a singer chased a boy.	the priest understands the opponent.
232	x	Passive	Passive	a woman was hurt by a brother.	the opponent is understood by the priest.
232	y	Active	Passive	a brother hurt a woman.	the opponent is understood by the priest.
233	y	Passive	Active	a woman was hurt by a brother.	the priest understands the opponent.
233	x	Active	Active	a brother hurt a woman.	the priest understands the opponent.
234	x	Passive	Passive	a man was raised by an actress.	the opponent is understood by the priest.
234	y	Active	Passive	an actress raised a man.	the opponent is understood by the priest.
235	y	Passive	Active	a man was raised by an actress.	the priest understands the opponent.
235	x	Active	Active	an actress raised a man.	the priest understands the opponent.
236	x	Passive	Passive	a telephone was destroyed by an attorney.	the opponent is understood by the priest.
236	y	Active	Passive	an attorney destroyed a telephone.	the opponent is understood by the priest.
237	y	Passive	Active	a telephone was destroyed by an attorney.	the priest understands the opponent.
237	x	Active	Active	an attorney destroyed a telephone.	the priest understands the opponent.
238	x	Passive	Passive	a reader was carried by an author.	the opponent is understood by the priest.
238	y	Active	Passive	an author carried a reader.	the opponent is understood by the priest.
239	y	Passive	Active	a reader was carried by an author.	the priest understands the opponent.
239	x	Active	Active	an author carried a reader.	the priest understands the opponent.
240	x	Passive	Passive	a chicken was eaten by an actor.	the brother is struck by the parent.
240	y	Active	Passive	an actor ate a chicken.	the brother is struck by the parent.
241	y	Passive	Active	a chicken was eaten by an actor.	the parent strikes the brother.
241	x	Active	Active	an actor ate a chicken.	the parent strikes the brother.
242	x	Passive	Passive	a guitar was wrapped by an author.	the brother is struck by the parent.
242	y	Active	Passive	an author wrapped a guitar.	the brother is struck by the parent.
243	y	Passive	Active	a guitar was wrapped by an author.	the parent strikes the brother.
243	x	Active	Active	an author wrapped a guitar.	the parent strikes the brother.
244	x	Passive	Passive	a tea was kept by a corporation.	the brother is struck by the parent.
244	y	Active	Passive	a corporation kept a tea.	the brother is struck by the parent.
245	y	Passive	Active	a tea was kept by a corporation.	the parent strikes the brother.
245	x	Active	Active	a corporation kept a tea.	the parent strikes the brother.
246	x	Passive	Passive	a beer was destroyed by a girl.	the brother is struck by the parent.
246	y	Active	Passive	a girl destroyed a beer.	the brother is struck by the parent.
247	y	Passive	Active	a beer was destroyed by a girl.	the parent strikes the brother.
247	x	Active	Active	a girl destroyed a beer.	the parent strikes the brother.
248	x	Passive	Passive	a reader was kissed by a king.	the brother is struck by the parent.
248	y	Active	Passive	a king kissed a reader.	the brother is struck by the parent.
249	y	Passive	Active	a reader was kissed by a king.	the parent strikes the brother.
249	x	Active	Active	a king kissed a reader.	the parent strikes the brother.
250	x	Passive	Passive	a chief was comforted by an aunt.	the brother is struck by the parent.
250	y	Active	Passive	an aunt comforted a chief.	the brother is struck by the parent.
251	y	Passive	Active	a chief was comforted by an aunt.	the parent strikes the brother.
251	x	Active	Active	an aunt comforted a chief.	the parent strikes the brother.
252	x	Passive	Passive	a candy was eaten by an attorney.	the brother is struck by the parent.
252	y	Active	Passive	an attorney ate a candy.	the brother is struck by the parent.
253	y	Passive	Active	a candy was eaten by an attorney.	the parent strikes the brother.
253	x	Active	Active	an attorney ate a candy.	the parent strikes the brother.
254	x	Passive	Passive	a champion was understood by a secretary.	the brother is struck by the parent.
254	y	Active	Passive	a secretary understood a champion.	the brother is struck by the parent.
255	y	Passive	Active	a champion was understood by a secretary.	the parent strikes the brother.
255	x	Active	Active	a secretary understood a champion.	the parent strikes the brother.
256	x	Passive	Passive	a chicken was eaten by a pilot.	the brother is struck by the parent.
256	y	Active	Passive	a pilot ate a chicken.	the brother is struck by the parent.
257	y	Passive	Active	a chicken was eaten by a pilot.	the parent strikes the brother.
257	x	Active	Active	a pilot ate a chicken.	the parent strikes the brother.
258	x	Passive	Passive	a man was carried by a physician.	the brother is struck by the parent.
258	y	Active	Passive	a physician carried a man.	the brother is struck by the parent.
259	y	Passive	Active	a man was carried by a physician.	the parent strikes the brother.
259	x	Active	Active	a physician carried a man.	the parent strikes the brother.
260	x	Passive	Passive	the knife is removed by the professor.	a coffee was wanted by a king.
260	y	Active	Passive	the professor removes the knife.	a coffee was wanted by a king.
